,id,text,aspect,polarity
0,813," all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !",food,positive
1,1579, and really large portions .,food,positive
2,2707, go inside and you wo n't want to leave .,anecdotes/miscellaneous,positive
3,3126, save yourself the time and trouble and skip this one !,anecdotes/miscellaneous,negative
4,2882, the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the taramasalata was forgettable .,food,conflict
5,1609, service was quick .,service,positive
6,3018," oh , do n't even let me start with how expensive the bills were !",price,negative
7,3292, service is top notch .,service,positive
8,2041, the best thing i tasted were the lamb hops .,food,positive
9,2609, overall i would recommend it and go back again .,anecdotes/miscellaneous,positive
10,1194, i 've been here a couple of times and have not been impressed .,anecdotes/miscellaneous,negative
11,3440," even though its good seafood , the prices are too high .",food,positive
12,3440," even though its good seafood , the prices are too high .",price,negative
13,870," in addition , the food is very good and the prices are reasonable .",food,positive
14,870," in addition , the food is very good and the prices are reasonable .",price,positive
15,2507, the food is great and authentic .,food,positive
16,586, i was at rao 's last wed .,anecdotes/miscellaneous,neutral
17,3081," i recommend the garlic shrimp , okra ( bindi ) , and anything with lamb .",food,positive
18,1884," the menu was impressive with selections ranging from a burger , to steak , to escargot .",food,positive
19,2077, very good breads as well .,food,positive
20,201," anyway , the food is good , the price is right and they have a decent wine list .",food,positive
21,201," anyway , the food is good , the price is right and they have a decent wine list .",price,positive
22,3049, the food was lousy too sweet or too salty and the portions tiny .,food,negative
23,1242, but the coconut rice was good .,food,positive
24,2211, and the tom kha soup was pathetic .,food,negative
25,3343, the food now is inconsistent .,food,negative
26,2141," try the crunchy tuna , it is to die for .",food,positive
27,83, reasonable prices .,price,positive
28,381, everything at sala thai is tasty and well portioned .,food,positive
29,3315, add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,positive
30,3315, add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,price,positive
31,3315, add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service,positive
32,1709," unfortunately , the food was not something to get worked up about .",food,negative
33,193, the food is great and reasonably priced .,food,positive
34,193, the food is great and reasonably priced .,price,positive
35,2459, i got enough reasons to keep coming back ! ! !,anecdotes/miscellaneous,positive
36,1293," their calzones are horrific , bad , vomit inducing , yuck .",food,negative
37,2105," a few tips : skip the turnip cake , roast pork buns and egg custards .",food,negative
38,2152, the bagels are fabulous .,food,positive
39,3358, i never had anything i did n't like here .,anecdotes/miscellaneous,positive
40,2751, i definitely would n't go back .,anecdotes/miscellaneous,negative
41,882," while the ambiance and atmosphere were great , the food and service could have been a lot better .",ambience,positive
42,882," while the ambiance and atmosphere were great , the food and service could have been a lot better .",food,negative
43,882," while the ambiance and atmosphere were great , the food and service could have been a lot better .",service,negative
44,1124," our waitress was sweet and accomodating , not overbearing .",service,positive
45,3546, i have tried literally every restaurant on curry row .,anecdotes/miscellaneous,neutral
46,3020," my goodness , everything from the fish to the rice to the seaweed was absolutely amazing .",food,positive
47,746, i went to this restaurant with a woman that i met recently .,anecdotes/miscellaneous,neutral
48,3170," good spreads , great beverage selections and bagels really tasty .",food,positive
49,2171, the food options rule .,food,positive
50,2811, consistently good japanese tapas .,food,positive
51,762, i went to ruby foo 's after work with a group of 6 .,anecdotes/miscellaneous,neutral
52,339, the sushi was awful !,food,negative
53,217, my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,anecdotes/miscellaneous,positive
