,id,text,aspect,polarity
0,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",food,positive
1,1579,And really large portions.,food,positive
2,2707,Go inside and you won't want to leave.,anecdotes/miscellaneous,positive
3,3126,Save yourself the time and trouble and skip this one!,anecdotes/miscellaneous,negative
4,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,food,conflict
5,1609,Service was quick.,service,positive
6,3018,"Oh, don't even let me start with how expensive the bills were!",price,negative
7,3292,Service is top notch.,service,positive
8,2041,The best thing I tasted were the lambc hops.,food,positive
9,2609,Overall I would recommend it and go back again.,anecdotes/miscellaneous,positive
10,1194,I've been here a couple of times and have not been impressed.,anecdotes/miscellaneous,negative
11,3440,"Even though its good seafood, the prices are too high.",food,positive
12,3440,"Even though its good seafood, the prices are too high.",price,negative
13,870,"In addition, the food is very good and the prices are reasonable.",food,positive
14,870,"In addition, the food is very good and the prices are reasonable.",price,positive
15,2507,The food is great and authentic.,food,positive
16,586,I was at Rao's last Wed.,anecdotes/miscellaneous,neutral
17,3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",food,positive
18,1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",food,positive
19,2077,very good breads as well.,food,positive
20,201,"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive
21,201,"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive
22,3049,The food was lousy -too sweet or too salty and the portions tiny.,food,negative
23,1242,But the coconut rice was good.,food,positive
24,2211,And the Tom Kha soup was pathetic.,food,negative
25,3343,The food now is inconsistent.,food,negative
26,2141,"Try the crunchy tuna, it is to die for.",food,positive
27,83,Reasonable prices.,price,positive
28,381,Everything at Sala Thai is tasty and well-portioned.,food,positive
29,3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive
30,3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
31,3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive
32,1709,"Unfortunately, the food was NOT something to get worked up about.",food,negative
33,193,The food is great and reasonably priced.,food,positive
34,193,The food is great and reasonably priced.,price,positive
35,2459,I got enough reasons to keep coming back!!!,anecdotes/miscellaneous,positive
36,1293,"Their calzones are horrific, bad, vomit-inducing, YUCK.",food,negative
37,2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",food,negative
38,2152,The bagels are fabulous.,food,positive
39,3358,I never had anything I didn't like here.,anecdotes/miscellaneous,positive
40,2751,I definitely wouldn't go back.,anecdotes/miscellaneous,negative
41,882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive
42,882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative
43,882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative
44,1124,"Our waitress was sweet and accomodating, not overbearing.",service,positive
45,3546,I have tried literally every restaurant on curry row.,anecdotes/miscellaneous,neutral
46,3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",food,positive
47,746,I went to this restaurant with a woman that I met recently.,anecdotes/miscellaneous,neutral
48,3170,"Good spreads, great beverage selections and bagels really tasty.",food,positive
49,2171,The food options rule.,food,positive
50,2811,Consistently good Japanese Tapas.,food,positive
51,762,I went to Ruby Foo's after work with a group of 6.,anecdotes/miscellaneous,neutral
52,339,The sushi was awful!,food,negative
